resource,menu,price,location
madchef,Chicken Cheese Bombs,299,Wari
madchef,Spicy Cajun Fries,159,Wari
madchef,Fries - Salt & Pepper,139,Wari
madchef,Onion Rings,149,Wari
madchef,Spicy Garlic Mushrooms 🌶,269,Wari
madchef,Paneer Sticks,399,Wari
madchef,Buffalo,399,Wari
madchef,Naga-Tastic 🌶,399,Wari
madchef,Honey Garlic,399,Wari
madchef,Original,399,Wari
madchef,The BIG Rob,379,Wari
madchef,Mushroom Melt,379,Wari
madchef,Madchef's FAV,379,Wari
madchef,Signature Chicken,269,Wari
madchef,Signature Beef,299,Wari
madchef,The HAWK,619,Wari
madchef,Smokin' Chic 🌶,419,Wari
madchef,The Cuban,419,Wari
madchef,Madame Lucy,449,Wari
madchef,Mighty Spicy Chic 🌶,449,Wari
madchef,The Dhakaiyya,447,Wari
madchef,Gyro Chicken over Cajun Fries 🌶,379,Wari
madchef,Crispy Chicken & Bacon,439,Wari
madchef,Shah Poutine,379,Wari
madchef,Roast Chicken,329,Wari
madchef,Gyro Chicken over Rice,399,Wari
madchef,Spicy Basil Chicken 🌶,349,Wari
madchef,Creamy Mushroom Stuffed Chicken,497,Wari
madchef,Achari Fried Rice,299,Wari
madchef,Mango Habanero Grilled Chicken,649,Wari
madchef,Creamcheez Stuffed Chicken,699,Wari
madchef,Mad Monster,649,Wari
madchef,Chicken Steak Meal,419,Wari
madchef,Strawberry Caipirinha,279,Wari
madchef,Lime Refreshmint,179,Wari
madchef,Honey Limade,219,Wari
madchef,Lemon Iced Tea,179,Wari
madchef,Just Milo,299,Wari
madchef,Cake In My Shake,399,Wari
madchef,Nutella Madness,349,Wari
madchef,Peanut Butter,349,Wari
madchef,Cookies n' Cream,299,Wari
madchef,French Vanilla Latte,299,Wari
madchef,Chicken Cheese Bombs,299,Banani
madchef,Spicy Cajun Fries,159,Banani
madchef,Fries - Salt & Pepper,139,Banani
madchef,Onion Rings,149,Banani
madchef,Spicy Garlic Mushrooms 🌶,269,Banani
madchef,Paneer Sticks,399,Banani
madchef,Buffalo,399,Banani
madchef,Naga-Tastic 🌶,399,Banani
madchef,Honey Garlic,399,Banani
madchef,Original,399,Banani
madchef,The BIG Rob,379,Banani
madchef,Mushroom Melt,379,Banani
madchef,Madchef's FAV,379,Banani
madchef,Signature Chicken,269,Banani
madchef,Signature Beef,299,Banani
madchef,The HAWK,619,Banani
madchef,Smokin' Chic 🌶,419,Banani
madchef,The Cuban,419,Banani
madchef,Madame Lucy,449,Banani
madchef,Mighty Spicy Chic 🌶,449,Banani
madchef,The Dhakaiyya,447,Banani
madchef,Gyro Chicken over Cajun Fries 🌶,379,Banani
madchef,Crispy Chicken & Bacon,439,Banani
madchef,Shah Poutine,379,Banani
madchef,Roast Chicken,329,Banani
madchef,Gyro Chicken over Rice,399,Banani
madchef,Spicy Basil Chicken 🌶,349,Banani
madchef,Creamy Mushroom Stuffed Chicken,497,Banani
madchef,Achari Fried Rice,299,Banani
madchef,Mango Habanero Grilled Chicken,649,Banani
